,Component 0,Component 1,clusters,year,abs_clean,country_code
10,28.289083,-19.781904,1,2013,"The invention relates to a method for evaluating the level of neutralization of the biological activity of lipopolysaccharides (LPS) in a sample, wherein the LPS are quantified both by mass spectrometry, preferably by LCMS/MS, and by a LPS biological activity assay, and wherein the level of neutralization is determined by comparing the results obtained by mass spectrometry with the results obtained with the LPS biological activity assay.",WO
11,-44.138905,-9.461802,2,2015,"Circuits integrated or integrable with a photovoltaic panel to provide built-in functionality to the photovoltaic panel including safety features such as arc detection and elimination, ground fault detection and elimination, reverse current protection, monitoring of the performance of the photovoltaic panel, transmission of the monitored parameters and theft prevention of the photovoltaic panel. The circuits may avoid power conversion, for instance DC/DC power conversion, may avoid performing maximum power tracking to include a minimum number of components and thereby increase overall reliability.",US
12,-25.363216,-57.951443,6,2017,"A rotary sensor includes a rotor and a housing. A support structure includes a shaft, a housing portion, a first member, and a second member. A first end of the shaft is coupled to the rotor, and the shaft is supported for rotation about a shaft axis. The housing portion includes a first bore extending along a first axis, and a second bore extending along a second axis oriented at a non-zero angle relative to the first axis. The first member is received in the first bore and is movable relative to the housing portion in a direction parallel to the first axis. The first member is coupled to the second end of the shaft. The second member is received in the second bore. At least one of the housing portion and the second member is movable relative to the other of the housing portion and the second member in a direction parallel to the second axis.",WO
13,31.702799,-22.683847,1,2005,"The present invention provides waterproof, breathable non-textile seamed articles which exhibit high levels of durablility and allow wearers a high level of flexibility and article strength. This invention is of particular interest for use in dexterous hand coverings and conformable foot coverings.",WO
14,44.12343,-43.92015,12,2002,"The invention relates to novel nucleic acid molecules, to the use thereof in the construction of genetically improved microorganisms and to a method for producing fine chemical products, in particular amino acids, by means of said genetically improved microorganisms.",WO
15,53.74178,5.443505,11,2011,"A self-emulsifying pharmaceutical composition for delivering taxanes is disclosed. It comprises taxane, oil, surfactant and ethanol, preferably also comprises lactic acid. The surfactant is phospholipid or polyoxyethylenated castor oil. When added into the glucose injection, the self-emulsifying pharmaceutical composition immediately forms a microemulsion with a particle size of 50-300 nm. The microemulsion is stable for more than 12 hours at room temperature.",WO
16,41.77535,-38.320686,1,2007,"The present invention provides a method and device for monitoring an enzymatic process of a biological molecule, in particular a polymerase activity in an amplification of nucleic acids, eg. PCR, by, at least once, during the enzymatic process determining an amount of magnetic particles attached to a sensor surface. The method and device according to embodiments of the present invention may be used for monitoring an enzymatic process as a function of time.",WO
17,1.402516,-46.057896,4,2013,"A multiuser, multi-interface computing system includes a computer system, and a continuous substrate including a first surface and a second surface. The substrate includes at least two touch sensitive regions, each touch sensitive region including a continuous touch sensitive surface that covers at least a portion of at least one display and an individual interface for selecting applications. The touch sensitive surface is configured to serve as the primary input to the computer system. The continuous substrate is transparent within the touch sensitive regions. The multiuser, multi-interface computing system is configured so that the at least two users can use the touch sensitive regions simultaneously.",US
18,64.16586,-15.354587,3,2016,"Disclosed herein is a long acting pharmaceutical composition for treating or preventing human immunodeficiency virus (HIV) infection. The pharmaceutical composition comprises a suspension of a lysine-based aspartyl protease inhibitor or salt thereof, a surface modifier, and a pharmaceutically acceptable carrier; wherein the lysine-based aspartyl protease inhibitor or salt thereof has an average effective particle size of less than about 500 nm. A method for treating or preventing HIV infection with the pharmaceutical composition is also disclosed.",WO
19,7.536877,-59.898384,4,2013,"The circuit board includes a ceramic sintered body and a metal wiring layer provided on at least one primary surface thereof with a glass layer interposed therebetween, and when the cross section of the circuit board perpendicular to the primary surface of the ceramic sintered body is viewed, the ratio of the length of an interface between the glass layer and the metal wiring layer to a length of the glass layer in a direction along the primary surface is 1.25 to 1.80.",US
20,-38.419086,19.058174,2,2017,"Systems and method of embodiments herein operate to conserve battery power of user equipment (UE). Embodiments determine whether waking up a UE receiver would be beneficial and based on the determination, the UE either wakes up the receiver or returns to sleep. Embodiments determine whether to wake up the receiver by performing pre-wake up (PWU) operation which either wakes up the receiver in a low power mode or wakes up the UE&#39;s wake up receiver. It may be determined whether a wake up (WU) signal is received during a PWU stage. If a WU signal is received during the PWU stage the UE may perform a full wake up of the receiver. If a WU signal is not received the UE may return to idle mode. In embodiments, WU (Wake Up) DRX cycles are supplemented with a Full DRX (Discontinuous Reception) cycle.",WO
21,-57.748158,13.270996,9,2018,"A reading device (100) is provided with a reading unit (143), a housing (160), a cover unit (110), a conveyance unit (130), an interposition member (170), a control unit (153), a cable (180), and a coupling member (190). The housing (160) houses the reading unit (143). The cover unit (110) is mountable on the housing (160). The conveyance unit (130) is housed in the cover unit (110), and conveys a sheet. The interposition member (170) is interposed between the cover unit (110) and the housing (160). The control unit (153) is housed in the housing (160), and controls the conveyance unit (130). The cable (180) is connected to the control unit (153) and connected to the conveyance unit (130), and sends a control signal outputted by the control unit (153) to the conveyance unit (130). The coupling member (190) is coupled to the cover unit (110) and coupled to the housing (160).",WO
22,19.556595,4.466053,11,2018,"The guitar consists of a body (8), a neck (1) and associated head (3). In particular, the guitar neck (1) and guitar head (3) are partially or entirely formed of a single piece of wood or a continuous laminate made of wood or bamboo. In addition the piece of wood or the laminate layers is/are pre-treated in steam and bent into the desired shape at the point where the nut (2) is, such that the wood fibres (12) or bamboo fibres run along the guitar neck (1) and run continuously into the guitar head (3). Preferably, the guitar has a guitar neck (1), wherein at least the fretboard (4) of the neck (1) consists of high-density bamboo, i.e. a compressed grass, instead of a wood. This high-density bamboo is planed from horizontally or vertically glued and compressed raw strips and pressed to form a high-density bamboo material, known as HDG bamboo or strand woven bamboo. The frets (5) on the fretboard (4) are inserted into milled grooves in the fretboard (4) in the usual manner.",WO
23,32.130226,47.002575,10,2012,"The invention relates to an apparatus for introducing renewable fuels into the region of the radiation boiler wall (9) of coal gasification reactors, which consist of a reaction chamber, with burners (6) arranged in the reaction chamber (2), and a cooling chamber (3), and the cooling chamber is provided with a radiation boiler wall (9) for cooling the liquid slag, wherein according to the invention the annular part of the cooling chamber in which the radiation boiler wall is arranged is provided with burners (11), which lead through the radiation boiler wall into the cooling chamber and through which a renewable fuel can be introduced into the cooling chamber. This apparatus allows renewable fuel to be introduced through a radiation boiler wall into the cooling chamber, which is located underneath the reaction chamber, and so the heat content of the hot synthesis gas can also be utilized in the cooling chamber for the secondary gasification of renewable fuel. The invention also relates to a method for introducing renewable fuel through the radiation boiler wall of the cooling chamber of a coal gasification reactor and to the use of the synthesis gas produced by the method.",WO
24,-37.104633,18.730673,2,2003,"A system, method, software and related functions are provided for managing activity in a radio frequency band that is shared, both in frequency and time, by signals of multiple types. An example of such a frequency band is an unlicensed frequency band. Radio frequency energy in the frequency band is captured at one or more devices and/or locations in a region where activity in the frequency band is happening. Signals occurring in the frequency band (23) are detected by sampling part or the entire frequency band for time intervals. Signals pulse energy in the band is detected and is used to classify signals (2010) according to signal type. Using knowledge of the types of signals occurring in the frequency band and other spectrum activity related statistics, actions can be taken in a device or network of devices to avoid interfering with other signals, and in general to optimize simultaneous use of the frequency band with the other signals. The spectrum intelligence (56) may be used to suggest actions to a device user or network administrator, or to automatically invoke actions in a device or network of devices to maintain desirable performance.",WO
25,-13.817453,-5.7157593,6,2018,"A punched card key push-type door lock, according to the present invention, includes a housing, a key insertion part, an operating rod, a key recognition part, and a motion transmission part. The key insertion part has a punched card key inserted therein, is guided by the housing so as to move in the direction in which the punched card key is inserted and pushed, and receives elastic force in the direction opposite to the push direction of the punched card key. The operating rod is supported by the housing so as to be forwardly and reversely rotatable, thereby locking or unlocking a lock cylinder. The key recognition part recognizes punched patterns and un-punched patterns of the punched card key during pushing of the punched card key. The motion transmission part transmits a push movement of the punched card key as forward and reverse rotational movements of the operating rod when the key recognition part successfully recognizes the punched card key.",WO
26,-20.029192,-31.405266,6,2019,"[Problem] To provide an ISOFIX child safety seat that is safely and reliably attached without any adverse events during seat attachment. [Solution] A ISOFIX child safety seat (10) comprising a compression lock mechanism (100) that prevents movement of an arm guide (21) in conjunction with the unlocking of a lock part (30) and an attachment receiver (4) of a seat, the ISOFIX child safety seat (10) characterized in that: the compression lock mechanism (100) includes a lock piece (120) having at the tip end a protrusion (122) that does or does not come into contact with the end of the arm guide (21), and a support recess (130) which is formed in a lock bar (34) of the cord reel 30, which is provided with an opening (132) through which the protrusion (122) passes, and which accommodates the lock piece (120); the protrusion (122) protrudes from the opening (132) at the movement side of the arm guide (21) to prevent the arm guide (21) from moving when the lock part (30) is not locked; and the protrusion (122) rotates from the end of the arm guide (21) to the movement-forward side and comes to be accommodated in the support recess (130) so that the arm guide (21) is able to move when the lock part (30) is locked.",WO
27,-17.51828,-25.543312,6,2008,An agricultural machine having a chassis (100) comprises a lifting mechanism associated with a working element support (120) of the agricultural machine. The lifting mechanism is configured to move the working element support frame (120) between substantially horizontal and substantially vertical orientations. The lifting mechanism includes means to generate sideways and rotational movement of the working element support frame (120) with respect t the chassis (100) of the agricultural machine.,WO
28,-42.94237,-10.311237,2,2016,"[Problem] To provide a bidirectional switch capable of soft switching, while having a simple circuit configuration.
[Solution] This bidirectional switch circuit is characterized by being provided with: two reverse-blocking type switching elements connected in anti-parallel; and one soft switching capacitor connected in parallel with the switching elements that are connected in anti-parallel. Alternatively, the bidirectional switch circuit is characterized by being provided with: two switching elements with flyback diodes, connected in anti-series; and one soft switching capacitor connected in parallel to the two ends of the switching elements that are connected in anti-series.",WO
29,-26.313515,-31.687164,6,2019,"A wearable leg support device according to the present invention comprises: a thighbone frame (110), which has a first disc part (111) having a circular arc-shaped guide groove (111a) and is formed around a joint rotary shaft; a shinbone frame (160) having a second disc part (161) capable of rotating with respect to the first disc part (111) around the joint rotary shaft in a state in which the second disc part overlaps with the first disc part (111); a support rod (150) which is raised and lowered within the shinbone frame (160) and which comes in contact with the ground; and an operating link (130) which is raised and lowered within the shinbone frame (160) and which has a guide groove pin (131) formed at one side thereof and mounted in the guide groove (111a), wherein the guide groove pin (131) of the operating link (130) is raised by means of the raising of the support rod (150), and the guide groove pin (131) pushes the side wall of the guide groove (111a) by means of the raising of the guide groove pin (131) so as to ensure an acute angle of the rear side of a joint between the thighbone frame (110) and the shinbone frame (160).",WO
30,-37.670273,40.778534,13,2015,"The aspects include systems and methods of managing virtual memory page shareability. A processor or memory management unit may set in a page table an indication that a virtual memory page is not shareable with an outer domain processor. The processor or memory management unit may monitor for when the outer domain processor attempts or has attempted to access the virtual memory page. In response to the outer domain processor attempting to access the virtual memory page, the processor may perform a virtual memory page operation on the virtual memory page.",WO
31,-13.487313,-10.394227,6,1998,"A method and apparatus of winding yarn (6a) into hanks (19), including the steps of loading a beam (1) having a sheet of parallel ends of yarn (6a) wound thereon onto a rotatable beam stand (9); unwinding the sheet (6) through a nip between two reciprocating rolls (8); separating the parallel ends of yarn in the sheet (6) from each other; and guiding each of the separated ends of yarn to a rotatable reel (17). The ends of yarn (6a) are then wound onto the rotatable reel (17) by rotating the beam (1) to release the sheet wound thereon; rotating the interacting rolls (8) to draw the sheet through the nip; and rotating the reel to wind each separated end of yarn onto the reel (17). The rotational velocity of the beam (1) and of the reciprocating rolls are controlled so as to keep the tension on the sheet (6) of yarns below a defined value. By controlling tension, one reduces the likelihood of the thread breakage and causes the yarn (6a) to be wound onto the reels in the form of loose hanks. The yarn may be easily unwound from the loose hanks (19) and wound into cones for knitting and weaving.",WO
32,-39.421986,55.204754,13,2003,"Systems, methods and devices for scrambling/descrambling sets of data bits using subsets of a recurring sequence of scrambler bits. A self-synchronous scrambler, regardless of the generating polynomial being implemented, will generate repeating sequences of scrambler bits regardless of the initial stage of the scrambler. To implement a parallel scrambler, given a current state of the scrambler, the next n states of the scrambler are predicted based on the current state of the scrambler. The scrambling operation can then be preformed using the values in the current state - parallel logic operations between preselected bits of the current state will yield the required values to be used in scrambling an incoming parallel data set. Once these required values are generated, a parallel logical operation between the required values and the incoming data set will result in the scrambled output data. The current state of the scrambler is then incremented by n+1 by performing a predetermined set of logical operations between the various bits of the current state such that each bit of the n+1 state is a result of a logical operation between selected and predetermined bits of the current state.",WO
33,-4.3566446,-24.31128,6,2009,"In a system for discretely packaging liquid or solid medication or other substances comprising a compartmented tray (10) with a perforated sealed sheet (21 ) attached thereto and individual removable pots (17) to which the sealed sheet is also sealed, a heat sealing machine to cause the sheet (21 ) to be sealed to the individual pots (17) and to the tray (10) whist simultaneously folding and sealing a front flap (29) of the film (21 ) to an end face (15) of the tray, comprising a heated plate (30) and a spring loaded pressure plate (32) with a supplementary heated member (36) and adjustable spot- sealing pins (37) pivotally mounted on the machine such that as the heated plate (30) seals the top of the film (21 ) so the pins (37) fold the front flap (29) of the film (21 ) down over the end of the tray and seal it thereto. Thus, the film (21 ) is sealed to the tray on two planes substantially simultaneously.",WO
34,-54.622272,28.480783,7,2015,"A display panel and manufacturing method thereof. The display panel comprises a first display region (105), a second display region (104) and a non-display region (106). A color filter layer in a first panel (101) of the display panel comprises a first color resist block (1013) and a second color resist block (1015). The first color resist block (1013) and second color resist block (1015) are located respectively in the first display region (105) and second display region (104). A first light-blocking block (1017) in the first panel (101) of the display panel is located in the non-display region (104). A second light-blocking block (1022) in a second panel (102) of the display panel is also located in the non-display region. Also provided is a manufacturing method based on the display panel. The display panel can effectively prevent light leakage.",WO
35,37.789528,-19.804491,1,2021,A new stable formulation comprising efinaconazole and its process for preparing. The formulation of the present invention exhibits low levels of impurities.,WO
36,-41.039925,-5.786032,2,2008,"A voucher machine, particularly an automated telemachine, for the input and output of vouchers such as cash or cheques, having a processing section (1) for transporting and processing vouchers to be input and output, is distinguished in that the processing section (1) has two processing circuits (5, 6) for processing input vouchers, which allows rapid output of vouchers identified as unsuitable for acceptance.",WO
37,-51.83412,43.608765,13,2006,"The invention relates to a system for recording and/or live broadcasting reports involving individuals present in at least one location as the performers. Said system comprises an unmanned studio established in the location and remote-controllable by a head office, the studio having at least two remote-controllable cameras. A communication link is established between the cameras and the head office for transmitting image data to the head office and for controlling the cameras. A central director&#39;s unit controls the recording and/or live broadcast of the records and of image data transmission. Every camera is associated with a preview channel via which preview image data can be transmitted from the location to the head office irrespective of a running recording or live broadcast. The central director&#39;s unit comprises a control unit for controlling the cameras while taking the preview image data into consideration.",WO
38,-20.14066,-16.382181,6,2017,"An information handling system includes a hard disk drive, a handle in physical communication with the hard disk drive, and a first flexible heat sink component. The first flexible heat sink component includes a first surface contact portion, a first main portion, and a first plurality of fins. The first surface contact portion is in physical communication with the hard disk drive. The first main portion is in physical communication with the handle. The first fins extend away from the first main portion. The first fins flex downward toward the hard disk drive when the first fins are placed in physical communication with a cover of a storage sled, and the first fins fit within a space between the cover and the hard disk.",US
39,31.529524,-17.454819,11,1999,"The present invention provides a method of treating silica wherein silica is reacted with a di- or tri-functional organosilane in an aqueous acid medium to provide a crude organosilane-capped silica product containing organosilicon impurities. The organosilicon impurities are extracted from the crude product with an organic liquid to provide a purified product consisting essentially of organosilane-capped silica. The purified product is dried to provide a dry organosilane-capped silica. The aqueous acid medium can include a displacing reagent which displaces at least one reactive functional group of the di- or tri-functional organosilane. The present invention further provides continuous methods of treating silica with di- and tri-functional organosilanes, wherein the organic liquid and/or the organosilicon impurities are recycled and reused.",WO
40,-63.728813,-42.36702,8,2018,"A light source structure (3) used to emit a light beam at a target object under measurement to perform three-dimensional sensing. The light source structure (3) comprises a semiconductor substrate (30) and multiple light-emitting units (32) formed on the semiconductor substrate (30). The light-emitting units (32) are formed into a two-dimensional lattice distributed on the semiconductor substrate (30). A reference sub-region (R 0 ) is selected from the light-emitting units (32). If a correlation coefficient between a transformed light-emitting unit sub-region (R&#39; n ), acquired by transforming a light-emitting unit sub-region (R n ) in the light-emitting units (32), and the reference sub-region (R 0 ) is greater than or equal to a preset threshold, the product of the ratio of the number of sets formed by the light-emitting unit sub-regions (R n ) to the total number of the light-emitting units (32), and an average value of the correlation coefficients corresponding to the transformed light-emitting unit sub-regions (R&#39; n ) acquired by transforming all of the light-emitting unit sub-regions (R n ) in each set is greater than or equal to 0.25, and is less than 1.",WO
41,59.24486,-40.952602,12,2019,"The present disclosure includes and provides for methods of packaging medical devices that are to be treated with a fluorinated liquid to alter their surface properties, packaging systems for such medical devices, and methods of utilizing the packaging systems to treat the medical devices. The packaging systems permit effective storage and distribution of medical devices that upon contact with mammalian blood have limited thrombogenicity or are non-thrombogenic and/or are resistant to adhesion of blood cells or clots.",WO
42,-31.055298,11.90725,9,2006,"An automatic pool cleaner is provided of the type for random travel over submerged floor and side wall surfaces of a swimming pool or the like to dislodge and collect debris. The pool cleaner includes an electric-powered traction drive system for rotatably driving cleaner wheels (15,17) , and an electric-powered water management system including a water supply pump (20) and related manifold unit (114) for venturi-vacuuming and collection of settled debris within a porous filter bag (24). A directional control system (26) including an on-board compass (27) monitors turning movements of the pool cleaner during normal random travel operation, and functions to regulate the traction drive system in a manner to prevent, e.g. , excess twisting of a conduit such as a power cable (28) tethered to the pool cleaner.",WO
43,56.68037,-42.235123,12,2003,"Anti-DR4 or Anti-DR5 antibody agonists, combined with apoptosis-inducing agents, synergistically induce apoptosis in cancer cells.",WO
44,-39.933304,63.40598,13,2015,"Provided are a method and device for visual presentation of data pre-loading. The method comprises: acquiring current playing progress of digital media content; presenting a first icon on a progress bar of a player for the digital media content according to the current playing progress, the first icon dividing the progress bar into a played part and a non-played part; determining a parameter for indicating a data pre-loading speed of the digital media content; and presenting at least one data point at the non-played part of the progress bar according to the parameter so as to indicate the data pre-loading speed. The method and device for visual presentation of data pre-loading provided in the embodiments of the present invention acquire the parameter for indicating the data pre-loading speed and present at least one data point according to the parameter, such that visual presentation of data pre-loading can be achieved, meaning a user can perceive the data pre-loading speed, and the user experience can be effectively improved.",WO
45,12.823485,-63.442093,4,2006,"An article with a coating on the surfaces thereof is disclosed, improved with relation to hardness and durability. The coating comprises at least one base layer and a cover layer as topmost layer, whereby the base layer comprises one or more high-performance thermoplastics and inorganic fillers and the cover layer comprises one or more high-performance thermoplastics and 20-30 % thermoplastic fluoropolymers with relation to the composition of the cover layer.",WO
46,-49.95679,-4.1454544,1,2006,"The present invention relates to digital-to-analog conversion. In particular, it has application to conversion of pulse code modulated signals, such as used in CDs and DVDs5 to a pulse width modulated or analog signal.",WO
47,12.837483,13.496385,11,2005,"A method and device for individually transporting articles of different type, size, weight, material or shape to one delivery location of a plurality of delivery locations that is designated for the respective article. The articles are placed one by one in respective transport containers, and the respective article is caused at a desired respective delivery location to be transferred from its transport container to a collecting or storage bin, distintegrator or further conveyor dedicated to the article, the transport container at the designated delivery location being made to discharge the article under the effect of gravity or with the aid of a separate, controlled actuating means. The respective article is identified prior to it being placed in a transport container. Identification may, for example, be related to the material of which the article is made.",WO
48,5.2008243,-43.90639,4,2018,"[Problem] The present invention addresses the problem of providing a sub-unit for a laminated electrode body with which an energy storage element having a large energy density can be efficiently manufactured. [Solution] A sub-unit of a laminated electrode body according to one embodiment of the present invention includes: two separators, each having an adhesive layer on both surfaces thereof; one positive electrode plate disposed between the two separators and adhered and fixed thereto; and one negative electrode plate adhered and fixed to the opposite surface of one of the two separators to the positive electrode plate. The ends of the two separators protrude from the ends of the positive electrode plate and the negative electrode plate.",WO
49,3.8649173,1.0118389,8,2014,"The present invention relates to a lens for an illuminating device, comprising two oppositely arranged sub-lenses, wherein the sub-lenses respectively have two surfaces facing away from each other, wherein at least one surface is configured as a wavy-like surface structure, and the two sub-lenses are capable of moving relatively between a first relative position and a second relative position, such that parallel beam from a light source of the illuminating device produce parallel beam at the first relative position after entering through one of sub-lens and exiting through the other sub-lens, while producing non-parallel beam at the second relative position after entering through one sub-lens and exiting through the other sub-lens.In addition, the present invention further relates to an illuminating device.",WO
50,32.63653,51.028194,10,2009,"Provided is a gas cutting method for cutting a workpiece by using a cutting tip provided with a preheating hole for forming a preheating flame by a combustion gas and a preheating oxygen gas and a cutting oxygen hole for jetting a cutting oxygen gas, which is capable of reducing the amount of consumption of a hydrogen gas by supplying the combustion gas suitable for heating of the workpiece and cutting of the work piece, respectively, to the preheating hole.  Also provided is a gas cutting device.  A gas cutting device (30) for supplying an oxygen gas and a fuel gas to a cutting tip (20) provided with a preheating hole (23) and a cutting oxygen hole (22) is characterized by being provided with an oxygen gas supply circuit (50), a hydrogen gas supply circuit (41), a propane gas supply circuit (45), and a control unit (60), wherein the control unit (60) is configured to cause the ratios of a hydrogen gas and a hydrocarbon-based gas which are to be supplied to the preheating hole (23) when the workpiece is heated and when the workpiece is cut to differ from each other.",WO
51,-56.497143,-9.674211,2,2021,"The present application relates to a hook effect determination method for a homogeneous time-resolved fluorescence immunoassay. The method comprises the steps of: (1) measuring, under the same excitation wavelength, fluorescence intensities of a fluorescence donor and acceptor at two detection wavelengths, and using a fluorescence intensity ratio between the two wavelengths as a signal value; (2) respectively establishing, by means of measuring signal values of at least two time instances in a reaction initiation phase and performing linear fitting and four-parameter fitting, reference curves of an absolute signal intensity value, a signal change rate value, and a sample concentration; and (3) detecting a signal value of an unknown sample, and obtaining, by means of the reference curves, a concentration of the unknown sample according to a fluorescence intensity of the unknown sample, so as to avoid the hook effect. The invention enables calculation of a relative signal intensity and a relative signal change rate value by means of ratios of the absolute signal intensity value and signal change rate value to background signals, thereby achieving consistency of results across different instruments. The invention increases the number of sample concentration readings which can be completed within a given period of time, thereby improving the detection throughput of systems.",WO
52,49.830597,-54.244766,12,2008,"HER2 binding polypeptides comprising the amino acid sequence EX1 RNAYWEIA LLPNLTNQQK RAFIRKLYDD PSQSSELLX2E AKKLNDSQ wherein X1 in position 2 is M, I or L, and X2 in position 39 is S or C (SEQ ID NO:1 ) are disclosed. Moreover, such peptides comprising a chelating environment are disclosed. Also radiolabeled polypeptides formed by the peptides comprising a chelating environment and radionuclides are disclosed. Furthermore, methods of in vivo imaging of the body of a mammalian subject having or suspected of having a cancer characterized by overexpression of HER2 comprising administration of such a radiolabeled polypeptide followed by obtainment of an image of the body using a medical imaging instrument and also methods of treating such cancer are disclosed. Furthermore, the use of such a radiolabeled polypeptide in diagnosis and treatment of cancer characterized by overexpression of HER2. Nucleic acids encoding the polypeptides, expression vectors comprising the nucleic acids and host cells comprising the expression vectors are also disclosed.",WO
53,-60.20829,5.1841574,2,2019,"A target determination unit determines, on the basis of the voltage value of a bus line, a target value of voltage frequency monotonously increasing with respect to the voltage value and a target value of active power monotonously decreasing with respect to voltage value. A modulation control unit controls the pulse width modulation of an inverter on the basis of the determined target values of the voltage frequency and active power.",WO
54,-12.181942,37.364113,5,2014,"A method and device for processing call record information, comprising: according to a pre-set judgement strategy, determining whether an obtained call number belongs to a useful category or a useless category; if the call number belongs to a useful category, then saving a call record; otherwise, discarding the call record. By means of the technical solution, by classifying a call number and executing a corresponding operation according to the classification result, only a useful category is saved in call records, effectively increasing the use efficiency of the call records and the utilization rate of space, thus obviously improving the user experience of making telephone calls using a mobile terminal.",WO
